,Unnamed: 0.1,Unnamed: 0,id,loc,dis,mapbar,centroid,normalize
68,68,68,豪邦四季经典,"125.281784,43.935034",2589,"125.283100043403,43.933185492622",1,"-0.01689263237899752,-0.007526584200995501"
69,69,69,豪邦四季经典,"125.281784,43.935034",2589,"125.283100043403,43.933185492622",1,"-0.01689263237899752,-0.007526584200995501"
70,70,70,新大华府,"125.282220,43.938146",2296,"125.28353108724,43.936274142796",1,"-0.016461588542000527,-0.004437934026995549"
71,71,71,豪邦四季经典C区,"125.280364,43.931770",3301,"125.281677246094,43.929956054688",1,"-0.018315429687987717,-0.010756022134998489"
72,72,72,豪邦四季经典,"125.281784,43.935034",2589,"125.283100043403,43.933185492622",1,"-0.01689263237899752,-0.007526584200995501"
73,73,73,豪邦四季经典C区,"125.280364,43.931770",3301,"125.281677246094,43.929956054688",1,"-0.018315429687987717,-0.010756022134998489"
74,74,74,豪邦四季经典,"125.281784,43.935034",2589,"125.283100043403,43.933185492622",1,"-0.01689263237899752,-0.007526584200995501"
75,75,75,檀香苑三期,"125.285577,43.933613",2102,"125.286875813803,43.931780327691",1,"-0.013116861979000305,-0.008931749131996014"
76,76,76,豪邦四季经典,"125.281784,43.935034",2589,"125.283100043403,43.933185492622",1,"-0.01689263237899752,-0.007526584200995501"
77,77,77,豪邦四季经典C区,"125.280364,43.931770",3301,"125.281677246094,43.929956054688",1,"-0.018315429687987717,-0.010756022134998489"
78,78,78,新月路豪邦四季经典,"125.281784,43.935034",2589,"125.283100043403,43.933185492622",1,"-0.01689263237899752,-0.007526584200995501"
79,79,79,柳江路龙泰檀香苑,"125.287531,43.930838",2782,"125.288828667535,43.92901421441",1,"-0.011164008246993262,-0.011697862412994198"
80,80,80,柳江路龙泰檀香苑,"125.287531,43.930838",2782,"125.288828667535,43.92901421441",1,"-0.011164008246993262,-0.011697862412994198"
81,81,81,新月路豪邦四季经典,"125.281784,43.935034",2589,"125.283100043403,43.933185492622",1,"-0.01689263237899752,-0.007526584200995501"
82,82,82,新月路豪邦四季经典,"125.281784,43.935034",2589,"125.283100043403,43.933185492622",1,"-0.01689263237899752,-0.007526584200995501"
83,84,84,柳江路龙泰檀香苑,"125.287531,43.930838",2782,"125.288828667535,43.92901421441",1,"-0.011164008246993262,-0.011697862412994198"
84,85,85,柳江路龙泰檀香苑,"125.287531,43.930838",2782,"125.288828667535,43.92901421441",1,"-0.011164008246993262,-0.011697862412994198"
85,86,86,柳江路龙泰檀香苑,"125.287531,43.930838",2782,"125.288828667535,43.92901421441",1,"-0.011164008246993262,-0.011697862412994198"
86,87,87,豪邦四季经典c区,"125.280364,43.931770",3301,"125.281677246094,43.929956054688",1,"-0.018315429687987717,-0.010756022134998489"
89,90,90,基隆北街新惠路,"125.289316,43.930065",2010,"125.290601942275,43.928246799046",1,"-0.009390733506990045,-0.012465277776996686"
96,97,97,基隆北街新惠路,"125.289316,43.930065",2010,"125.290601942275,43.928246799046",1,"-0.009390733506990045,-0.012465277776996686"
97,98,98,基隆北街新惠路,"125.289316,43.930065",2010,"125.290601942275,43.928246799046",1,"-0.009390733506990045,-0.012465277776996686"
98,100,100,基隆北街与柳江路,"125.282973,43.932590",2380,"125.284281412761,43.930768229167",1,"-0.015711263020989463,-0.009943847655996763"
99,101,101,基隆北街与柳江路交汇,"125.282973,43.932590",2380,"125.284281412761,43.930768229167",1,"-0.015711263020989463,-0.009943847655996763"
100,102,102,基隆北街新惠路,"125.289316,43.930065",2010,"125.290601942275,43.928246799046",1,"-0.009390733506990045,-0.012465277776996686"
102,104,104,基隆北街与柳江路交汇,"125.282973,43.932590",2380,"125.284281412761,43.930768229167",1,"-0.015711263020989463,-0.009943847655996763"
103,105,105,基隆北街新惠路,"125.289316,43.930065",2010,"125.290601942275,43.928246799046",1,"-0.009390733506990045,-0.012465277776996686"
104,106,106,新月路与基隆北街交汇新隆家园,"125.279778,43.938041",2374,"125.281097547744,43.936181911893",1,"-0.018895128037996756,-0.004530164929995806"
105,107,107,基隆北街与柳江路交汇,"125.282973,43.932590",2380,"125.284281412761,43.930768229167",1,"-0.015711263020989463,-0.009943847655996763"
106,108,108,基隆北街与柳江路交汇,"125.282973,43.932590",2380,"125.284281412761,43.930768229167",1,"-0.015711263020989463,-0.009943847655996763"
109,111,111,隆泰檀香苑一期,"125.283657,43.930311",2453,"125.28496202257,43.928500162761",1,"-0.01503065321199415,-0.012211914062000062"
110,112,112,基隆北街与柳江路交汇,"125.282973,43.932590",2380,"125.284281412761,43.930768229167",1,"-0.015711263020989463,-0.009943847655996763"
112,114,114,基隆北街与柳江路交汇,"125.282973,43.932590",2380,"125.284281412761,43.930768229167",1,"-0.015711263020989463,-0.009943847655996763"
114,116,116,基隆北街与柳江路交汇,"125.282973,43.932590",2380,"125.284281412761,43.930768229167",1,"-0.015711263020989463,-0.009943847655996763"
115,117,117,基隆北街与柳江路交汇,"125.282973,43.932590",2380,"125.284281412761,43.930768229167",1,"-0.015711263020989463,-0.009943847655996763"
116,118,118,基隆北街与柳江路交汇,"125.282973,43.932590",2380,"125.284281412761,43.930768229167",1,"-0.015711263020989463,-0.009943847655996763"
118,120,120,基隆北街与柳江路交汇,"125.282973,43.932590",2380,"125.284281412761,43.930768229167",1,"-0.015711263020989463,-0.009943847655996763"
119,121,121,基隆北街与柳江路交汇,"125.282973,43.932590",2380,"125.284281412761,43.930768229167",1,"-0.015711263020989463,-0.009943847655996763"
120,122,122,基隆北街与柳江路交汇,"125.282973,43.932590",2380,"125.284281412761,43.930768229167",1,"-0.015711263020989463,-0.009943847655996763"
122,124,124,基隆北街与柳江路交汇,"125.282973,43.932590",2380,"125.284281412761,43.930768229167",1,"-0.015711263020989463,-0.009943847655996763"
123,125,125,龙泰檀香苑二期,"125.285429,43.931570",2642,"125.28672498915,43.92975124783",1,"-0.013267686631991182,-0.010960828992999438"
125,127,127,新隆家园,"125.279659,43.937653",2244,"125.280977105035,43.935791829428",1,"-0.01901557074698701,-0.004920247394998967"
126,128,128,檀香苑,"125.286055,43.933835",2062,"125.287356770834,43.931990831164",1,"-0.01263590494799871,-0.00872124565899668"
127,129,129,檀香苑,"125.286055,43.933835",2062,"125.287356770834,43.931990831164",1,"-0.01263590494799871,-0.00872124565899668"
131,134,134,新月路豪邦四季经典,"125.281784,43.935034",2589,"125.283100043403,43.933185492622",1,"-0.01689263237899752,-0.007526584200995501"
134,137,137,新月路豪邦四季经典,"125.281784,43.935034",2589,"125.283100043403,43.933185492622",1,"-0.01689263237899752,-0.007526584200995501"
135,138,138,基隆北街檀香苑,"125.288667,43.930552",2031,"125.289960666233,43.92873562283",1,"-0.010032009548993415,-0.011976453993000291"
138,141,141,新月路豪邦四季经典,"125.281784,43.935034",2589,"125.283100043403,43.933185492622",1,"-0.01689263237899752,-0.007526584200995501"
139,142,142,新惠路与基隆北街交汇,"125.285164,43.937473",2645,"125.286465657553,43.935607638889",1,"-0.0135270182289986,-0.005104437933994177"
141,144,144,柳江路与花莲路交汇,"125.286222,43.924038",2835,"125.287525499132,43.92226671007",1,"-0.01246717664999153,-0.018445366752999348"
142,147,147,基隆北街与新惠路交汇,"125.288667,43.930552",2031,"125.289960666233,43.92873562283",1,"-0.010032009548993415,-0.011976453993000291"
144,149,149,基隆北街与新惠路交汇,"125.288667,43.930552",2031,"125.289960666233,43.92873562283",1,"-0.010032009548993415,-0.011976453993000291"
146,151,151,豪邦四季经典北门,"125.279430,43.935796",2506,"125.280756293403,43.933942599827",1,"-0.019236382378991834,-0.006769476995998502"
149,154,154,基隆北街新月路交汇新大华府,"125.282220,43.938146",2296,"125.28353108724,43.936274142796",1,"-0.016461588542000527,-0.004437934026995549"
151,156,156,基隆北街与新惠路交口檀香苑一期,"125.283657,43.930311",2453,"125.28496202257,43.928500162761",1,"-0.01503065321199415,-0.012211914062000062"
154,159,159,基隆北街与新惠路交口檀香苑一期,"125.283657,43.930311",2453,"125.28496202257,43.928500162761",1,"-0.01503065321199415,-0.012211914062000062"
157,163,163,新月路新隆家园,"125.279778,43.938041",2374,"125.281097547744,43.936181911893",1,"-0.018895128037996756,-0.004530164929995806"
158,164,164,雁鸣湖山庄,"125.275527,43.940929",2796,"125.276852213542,43.939036458334",1,"-0.023140462239993553,-0.0016756184889956671"
159,165,165,新月路新大华府,"125.282220,43.938146",2296,"125.28353108724,43.936274142796",1,"-0.016461588542000527,-0.004437934026995549"
160,166,166,龙泰檀香苑2期,"125.285226,43.931391",2453,"125.286524793837,43.92957139757",1,"-0.013467881944990268,-0.011140679252996222"
161,167,167,新隆家园,"125.279659,43.937653",2244,"125.280977105035,43.935791829428",1,"-0.01901557074698701,-0.004920247394998967"
162,168,168,四季经典小区北门,"125.280558,43.935246",2464,"125.281867947049,43.933394097223",1,"-0.01812472873299953,-0.007317979599996249"
163,169,169,基隆北街柳江路交汇檀香苑2期,"125.285226,43.931391",2453,"125.286524793837,43.92957139757",1,"-0.013467881944990268,-0.011140679252996222"
164,170,170,新月路四季经典小区北门,"125.281467,43.931004",3103,"125.282778862848,43.929187554254",1,"-0.017213812933988493,-0.011524522568997497"
166,172,172,基隆北街四季经典,"125.281784,43.935034",2589,"125.283100043403,43.933185492622",1,"-0.01689263237899752,-0.007526584200995501"
167,173,173,基隆北街龙泰檀香苑二期,"125.285226,43.931391",2453,"125.286524793837,43.92957139757",1,"-0.013467881944990268,-0.011140679252996222"
